id,name,average_rating,rank,min_players,max_players,playing_time,min_playtime,max_playtime,publishers,categories
1,Die Macher,7.59453,424,3,5,240,240,240,"['Hans im Glück', 'Moskito Spiele', 'Ediciones MasQueOca', 'Portal Games', 'Spielworxx', 'sternenschimmermeer', 'Stronghold Games', 'Valley Games, Inc.', 'YOKA Games']","['Economic', 'Negotiation', 'Political']"
2,Dragonmaster,6.64233,4969,3,4,30,30,30,"['E. S. Lowe Company Inc.', 'Milton Bradley']","['Card Game', 'Fantasy']"
3,Samurai,7.46946,269,2,4,60,30,60,"['Fantasy Flight Games', 'Hans im Glück', '999 Games', 'ABACUSSPIELE', 'Astrel Games', 'Ceilikan Jogos', 'Descartes Editeur', 'Edge Entertainment', 'Galakta', 'Hobby Japan', 'Korea Boardgames', 'Lacerta', 'Lautapelit.fi', 'Rio Grande Games', 'Skandinavisk  Spil Kompagni', 'Smart Ltd', 'Wargames Club Publishing']","['Abstract Strategy', 'Medieval']"
4,Tal der Könige,6.60045,6646,2,4,60,60,60,['KOSMOS'],['Ancient']
5,Acquire,7.34256,343,2,6,90,90,90,"['3M', 'The Avalon Hill Game Co', 'Arclight Games', 'Avalon Hill', 'Banana Games', 'Dujardin', 'Grow Jogos e Brinquedos', 'Korea Boardgames', 'PS-Games', 'Renegade Game Studios', 'Schmidt France', 'Schmidt International', 'Schmidt Spiele', 'Selecta Spel en Hobby', 'Smart Games, Inc.']","['Economic', 'Territory Building']"
6,Mare Mediterraneum,6.49235,13591,2,6,240,240,240,['Historien Spiele Galerie (Historien Spielegalerie)'],"['Civilization', 'Nautical']"
7,Cathedral,6.53884,2352,2,2,20,20,20,"['Brightway Products Ltd', 'Falomir Juegos', 'Family Games, Inc.', 'Gazebo Games UK Ltd.', 'Gigamic', 'Holzinsel', 'I.Q. Company', 'Lagoon Games', 'Mattel, Inc.', 'Robert P. Moore Games', 'Yangxin Industrial Company Limited']","['Abstract Strategy', ""Children's Game"", 'City Building', 'Territory Building']"
8,Lords of Creation,6.06062,11775,2,5,120,120,120,"['Vendetta', 'Warfrog Games']","['Civilization', 'Fantasy']"
9,El Caballero,6.46857,3668,2,4,90,90,90,"['999 Games', 'Hans im Glück', 'Rio Grande Games']",['Exploration']
10,Elfenland,6.67887,1362,2,6,60,60,60,"['AMIGO', '999 Games', 'Albi', 'Corfix', 'Hobby World', 'Midgaard Games', 'Rio Grande Games']","['Fantasy', 'Travel']"
11,Bohnanza,7.05894,525,2,7,45,45,45,"['AMIGO', '999 Games', 'Brain Games', 'Broadway Toys LTD', 'Copag Cards', 'Corfix', 'Fractal Juegos', 'G3', 'Gigamic', 'Giochi Uniti', 'Kaissa Chess & Games', 'Kikigagne?', 'Korea Boardgames', 'Lautapelit.fi', 'Lifestyle Boardgames Ltd', 'Lookout Games', 'Mercurio', 'Midgaard Games', 'Möbius Games', 'Paper Iyagi', 'PaperGames (III)', 'Piatnik', 'Rio Grande Games', 'Spilbræt.dk', 'Stratelibri', 'Swan Panasia Co., Ltd.', 'Tempo Games (I)']","['Card Game', 'Farming', 'Negotiation']"
12,Ra,7.63188,135,2,5,60,45,60,"['alea', 'Ravensburger', '25th Century Games', '999 Games', 'ABACUSSPIELE', 'DiceTree Games', 'Edge Entertainment', 'Giochix.it', 'Hobby World', 'Korea Boardgames', 'New Games Order, LLC', 'Planeta Igor', 'Precisamente', 'Rawstone', 'Reflexshop', 'Rio Grande Games', 'Swan Panasia Co., Ltd.', 'Tranjis Games', 'Überplay', 'Windrider Games']","['Ancient', 'Mythology']"
13,CATAN,7.09932,553,3,4,120,60,120,"['KOSMOS', '999 Games', 'Albi', 'Asmodee', 'Astrel Games', 'BGA Plus', 'Brain Games', 'Broadway Toys LTD', 'Capcom Co., Ltd.', 'Catan Studio', 'Competo / Marektoy', 'danspil', 'Descartes Editeur', 'Devir', 'Dexy Co', 'Enigma (Bergsala Enigma)', 'Eurogames', 'Filosofia Éditions', 'Galakta', 'Giochi Uniti', 'GP Games', 'Grow Jogos e Brinquedos', 'HaKubia', 'Hanayama', 'Hobby World', 'Ideal Board Games', 'Igroljub', 'IntelliGames.BG', 'Ísöld ehf.', 'Kaissa Chess & Games', 'Korea Boardgames', 'L&M Games', 'Laser plus', 'Lautapelit.fi', 'Logojogos', 'Mayfair Games', 'MIPL', 'NeoTroy Games', 'Ninive Games', 'Paper Iyagi', 'Piatnik', 'Smart Ltd', 'Spilbræt.dk', 'Stupor Mundi', 'SuperHeated Neurons', 'Swan Panasia Co., Ltd.', 'Tilsit', 'Top Toys', 'TRY SOFT', 'Vennerød Forlag AS']","['Economic', 'Negotiation']"
14,Basari,6.75168,2595,3,4,25,25,25,"['F.X. Schmid', 'New Games Order, LLC', 'Out of the Box Publishing']",['Negotiation']
15,Cosmic Encounter,6.92614,1487,2,6,90,90,90,"['Eon', 'Alga', 'ASS Altenburger Spielkarten', 'Descartes Editeur', 'Games Workshop Ltd.', 'Grow Jogos e Brinquedos', 'Tsukuda Hobby', 'West End Games']","['Bluffing', 'Negotiation', 'Science Fiction']"
