id,username,yearregistered,lastlogin,country,geekfriends,geekfriends_total,guilds,guild_total
1842501,lucsen,2018,2023-12-21,Germany,['Robbus'],1,"['742', '1303', '1622', '1648', '1999', '3344']",6
937901,maxdavie,2014,2024-06-21,United Kingdom,[],0,"['24', '1011']",2
20183,IONIAN,2004,2024-06-10,Greece,"['Aetheling', 'Anastasoulis', 'Asghan', 'deschuyter', 'eunoia', 'feanor985', 'FuzzyLlamaReviews', 'gbounias', 'GiannisS', 'julienlille', 'kastrologos', 'LeXaR_30', 'Luisjoey', 'Michael Becker', 'omega_player', 'onio', 'PANAOS1125', 'Petsofas', 'pigasos15', 'psilolouben', 'r6751', 'rattle', 'Spyros148', 'stefanmiker', 'stepal', 'stkoklas', 'underverse', 'vidaldo']",28,"['119', '1303']",2
81964,gusberman,2006,2024-02-29,Argentina,"['Arcangelurbano', 'gonzalezm', 'jamesdavis', 'marioaguila', 'Sobriquet', 'xgaiax']",6,"['1037', '1303']",2
2606378,Voxith,2020,2024-06-20,France,[],0,"['1028', '4143']",2
274443,Louminous,2009,2024-06-21,Greece,"['Anemelos', 'Atactoulis', 'dontbecruel', 'Emil 109', 'manolios', 'parasite99', 'sumarin', 'tagar', 'ToKaloPaixnidi', 'vasilis']",10,"['119', '2378', '2714', '3578']",4
132272,duartec,2007,2024-06-24,Portugal,"['Abruk', 'Admeto', 'airjudden', 'Alphawolf', 'Anonimus', 'archivists', 'Asdnart', 'Asur', 'avale', 'badweasel', 'batatas', 'bazik123', 'brainst0rm', 'BugLaden', 'calamar', 'Chartours', 'clearclaw', 'CortexBomb', 'd0gb0t', 'Dagoma', 'DalimThor', 'DanielCG', 'darky', 'dastierchen', 'deinstein', 'dixijo', 'doubtofbuddha', 'drzodiacus', 'Dugy', 'eapeas', 'elemental', 'Eric Brosius', 'f-p-p-m', 'fgpina', 'Firepigeon', 'fogus', 'fs1973', 'Galatolol', 'GamesOnTheBrain', 'Glamorous Mucus', 'GranNevada', 'helioa', 'HerbertML', 'hmocc', 'huber', 'hugocarvalho', 'idiot crow', 'ill6', 'jcarvin', 'jdbehan', 'jdromeiro', 'joao tereso', 'joaoespanhol', 'John Bohrer', 'Joshuaaaaaa', 'jrebelo', 'jsnell', 'jtamplin', 'kirkusmaximus', 'Kovacs', 'KrisVerbeeck', 'lemonhopogatari', 'leroy43', 'lorna', 'lucmoscrop', 'ManchotPi', 'mgaler', 'MGBM', 'MidLifeDelta', 'MikeBwithoutadot', 'mnafli', 'monkeyrobot', 'Morganza', 'msaari', 'm_r_tyler', 'nabla', 'Nebenerwerbsbauer', 'nebranco', 'Neil Thomson', 'newrev', 'Nunesh', 'Oblivion', 'oceano', 'OhGamers', 'One Fat Pug', 'Order', 'pedroarch', 'phunlvr', 'pitris', 'psicoserra', 'punkzter', 'PzVIE', 'ralfchr', 'rapires', 'RDewsbery', 'realgabriel', 'ricmadeira', 'rockusultimus', 'Ryan Wheeler', 'scottredracecar', 'Sentieiro', 'seppo21', 'Sgrovi', 'Shadowen', 'Sidnv', 'sinon', 'sky1ark', 'Soledade', 'SunnyD', 'thorndor', 'tmgd', 'tpbrown', 'vrhpires', 'yosz', 'zer0c00l']",115,"['128', '437', '505', '909', '1081', '1190', '1500', '2044', '3203', '3342']",10
64326,Casulo,2005,2024-06-18,Brazil,"['acaporal', 'Anderson Depizol', 'BezouroErratico', 'Bignerd', 'Cadu Souza', 'cinara', 'Conrado', 'FakeDutch', 'fformighieri', 'FGAndrade', 'ftola', 'helyanamanso', 'Illuminati', 'jmarconi', 'MLbgg', 'MogwaiBR', 'nazgul_sp', 'netojose', 'norDicoBR', 'quartelmestre', 'RafaelG', 'Riffel', 'Rivaben', 'rmontemor', 'rodrigobarba', 'Romir', 'Ronaldo', 'sonny', 'stumpf', 'thiagbs', 'tiagoaob', 'tiagoluchini', 'tirelli', 'worol', 'xandolino']",35,"['673', '1622', '2044', '3260']",4
307487,Jack Spirio,2010,2024-06-24,Austria,"['FrAnkX0r88', 'frotes', 'Matthias_K', 'mephistopheles78', 'Riley341', 'smartazjb0y']",6,"['1438', '2246']",2
2829277,Oicalyptus,2021,2024-06-24,Germany,"['Arradelle', 'birdman284', 'CarolineBlack', 'elizharg', 'invervegas', 'Konwacht', 'LToft', 'TheBoardGameFamily', 'TheCityofKings', 'tribefan07', 'TrimChris', 'Tstanley', 'vins']",13,"['1303', '2246']",2
