id,username,yearregistered,lastlogin,country,geekfriends,geekfriends_total,guilds,guild_total
2919018,FrostyTin,2021,2023-10-24,United States,[],0,[],0
3734334,Mark134,2023,2024-05-30,United Kingdom,[],0,[],0
2888015,Alves89,2021,2024-01-11,Portugal,[],0,[],0
335267,pcservbot,2010,2022-10-21,United States,"['bop517', 'Cate108', 'cosine', 'fathergeek', 'galderon', 'Jormi_Boced', 'LarryKruger', 'perplexingcj', 'Reinartz', 'Scytale']",10,"['193', '198', '674']",3
3831952,fmitchell238,2024,2024-03-19,United States,[],0,[],0
3037161,AntonioDesigner,2021,2021-10-03,Italy,[],0,[],0
3492389,MaykhiD,2023,2023-03-18,Brazil,[],0,[],0
61815,Tsenin,2005,2024-03-03,United States,[],0,[],0
2061237,STOpandthink,2019,2024-06-23,United States,[],0,[],0
3008329,philippeandmasha,2021,2023-01-31,United States,[],0,[],0
2927178,Blaicker,2021,2021-05-05,Russia,[],0,[],0
1662322,grog3514,2017,2024-06-30,United States,"['Chris Schreiber', 'DogVood', 'gpioski', 'KYGameMaster', 'TomVasel']",5,[],0
3494181,Mac0s,2023,2023-06-15,Austria,[],0,[],0
3440403,Adrien_Rives,2023,2024-03-14,France,[],0,[],0
3533267,FishhFinns,2023,2023-05-16,Australia,[],0,[],0
2702706,YannikPro,2020,2023-06-17,Germany,[],0,[],0
3876290,bardock94,2024,2024-05-06,United States,[],0,[],0
2976292,Leniakea,2021,2021-07-12,Russia,[],0,[],0
2993745,Kellermosem,2021,2021-11-18,Brazil,[],0,[],0
3451954,Tabodi,2023,2023-07-14,Finland,"['Blue_rose', 'Plush']",2,[],0
1039070,Yender,2015,2024-06-28,Romania,[],0,['1042'],1
2792629,yummTwinkies,2020,2024-06-07,United States,['daddylampshade'],1,[],0
2159506,OstrichSigma,2019,2024-06-27,France,[],0,"['94', '742', '1303', '2840']",4
1265195,Foulquesleruiste,2016,2021-08-10,France,[],0,[],0
203116,Brian C,2008,2024-05-14,Canada,"['Ivappanther', 'licinius', 'Nathnkilgore', 'Nevin', 'SaskGames', 'UndeadViking', 'Wilhammer']",7,"['130', '1222']",2
158613,Dnasearchr,2007,2024-05-25,United States,[],0,[],0
1516730,okinakaj,2017,2024-06-27,United States,[],0,[],0
3824288,Lynnlynn23,2024,2024-03-10,United States,[],0,[],0
3809848,Guelor90,2024,2024-02-26,Italy,[],0,[],0
298117,CumpaVero,2009,2023-07-30,Italy,[],0,[],0
266654,mortenesser,2009,2024-06-12,Denmark,[],0,[],0
1500063,guarrera,2017,2024-03-13,Italy,[],0,[],0
1069697,thenikopico,2015,2024-06-30,Canada,"['Al Newman', 'amabel', 'ambierona', 'BohnanZar', 'Chaiftan', 'Cole Wehrle', 'Eric Brosius', 'Feonix', 'greglios', 'hiimjosh', 'jmdsplotter', 'JoshuaStarr', 'Kentharious', 'leisenstein', 'leroy43', 'Morganza', 'NateStraight', 'Olafslomp', 'prd1982', 'Quinns', 'Ranior', 'revgiblet', 'russ', 'TaliaIsabelle', 'The Innocent', 'thediceyreview', 'W Eric Martin']",27,"['1290', '3277', '3948']",3
2354677,Torchusupernova80,2019,2021-01-06,Spain,[],0,[],0
1743092,Mrpants127,2017,2021-01-05,Canada,[],0,[],0
1519589,Nateheater,2017,2024-06-27,United States,[],0,[],0
3327882,ArmoredBuddy,2022,2023-02-01,Kazakhstan,[],0,[],0
3493075,Mrpaulw,2023,2023-03-12,Canada,[],0,[],0
3900839,luisdugarteb,2024,2024-06-01,Argentina,[],0,[],0
2548941,Naz63k,2020,2023-11-10,Switzerland,[],0,[],0
3858647,CaptainMo,2024,2024-05-16,France,[],0,[],0
45498,GameCrossing,2005,2024-06-29,United States,[],0,['3770'],1
743489,Ellanorsh,2013,2024-02-12,Russia,[],0,[],0
694251,dickterlouw,2013,2023-11-25,Netherlands,['Dyluk'],1,[],0
3419617,B_Andi89,2023,2024-06-30,Hungary,[],0,[],0
3544794,Swiftyswift,2023,2023-05-12,United Kingdom,[],0,[],0
971421,dunderwood07,2014,2023-11-23,United States,[],0,['1290'],1
3022394,Vasco_Simoes,2021,2024-06-29,Portugal,[],0,[],0
3011485,Moose3245,2021,2024-04-25,United Kingdom,[],0,[],0
3089522,cbanner,2021,2023-04-23,United States,[],0,[],0
3104094,SandyK3,2021,2021-12-23,United States,[],0,[],0
1385865,mlud,2016,2021-03-30,Brazil,[],0,[],0
2917431,Yannick9898,2021,2021-06-21,Germany,[],0,['1934'],1
2830481,ADJ1999,2021,2021-01-24,United States,[],0,[],0
2867943,ChristineandHarry,2021,2021-04-03,United States,[],0,[],0
3440232,Graziano7,2023,2023-01-17,Italy,[],0,[],0
3768325,Tragically_Knit,2024,2024-02-14,Canada,[],0,[],0
2646032,IljaWie,2020,2024-01-29,Netherlands,[],0,[],0
1861120,amandaofdoom,2018,2024-05-20,United States,"['Benedictum', 'xBenedictx']",2,[],0
286624,freediver,2009,2021-06-28,Serbia,[],0,[],0
1125262,Simple_clockwork,2015,2024-06-29,United States,[],0,"['24', '392', '678', '720', '909', '1100', '1145', '1191', '1303', '1999', '2926']",11
2977223,DrSlappybags,2021,2023-10-24,United States,[],0,[],0
3340702,JackAhlberg,2022,2023-05-29,Sweden,['Stoffe'],1,[],0
1231709,namesallgone,2016,2024-06-29,Canada,[],0,[],0
3907218,the_rival_mob,2024,2024-06-08,Poland,[],0,[],0
1184831,Jampy,2015,2024-06-25,Spain,[],0,[],0
1823489,Andre4k4Beppe,2018,2023-03-08,Italy,[],0,[],0
2312379,Haiyoooo,2019,2023-12-01,Singapore,[],0,[],0
1334501,UncleBrains,2016,2021-03-01,Mexico,[],0,[],0
37635,mahelkrow,2004,2024-06-28,United States,[],0,[],0
3191039,Suss1,2022,2023-11-08,Spain,[],0,[],0
1323311,zydro,2016,2024-05-14,United States,[],0,['1303'],1
3622269,Hejdjen,2023,2023-08-15,United States,[],0,[],0
1831612,rolfgerhard,2018,2024-06-30,Germany,[],0,[],0
262864,cichlidhead,2009,2024-06-30,United States,"['Ajax', 'Aquiel', 'asprineye', 'Chairman MIAO', 'chally', 'copwizard', 'DaMilli', 'dbias84', 'Devon Harmon', 'doubtofbuddha', 'edelen', 'EndersGame', 'erik2point0', 'EyeInSky', 'faidutti_ludotheque', 'fehrmeister', 'fellonmyhead', 'gameguru', 'Germarish', 'grant5', 'grayskale', 'gschloesser', 'houjix', 'Invictus5000', 'JaggedTech', 'jvkocian', 'karapet', 'laiernie', 'lsbass', 'mcross', 'musicedteacher', 'niczone', 'oddthought', 'out4blood', 'PatK', 'ping9x', 'polycrafty', 'Qhorin', 'quirogal', 'rahdo', 'Rianwyn', 'Rishi', 'Roni', 'Scarlet Witch', 'shannona', 'shaveandahaircut', 'Shpongle', 'sirgalin', 'sisteray', 'snicholson', 'Sphere', 'statonv', 'TaliaIsabelle', 'thoia', 'TomVasel', 'trenttsd', 'Vaughn', 'voigtkampff', 'W Eric Martin', 'ZeeGarcia', 'zefquaavius']",61,"['909', '1032', '2444']",3
3430762,XiMiToU,2023,2023-01-08,Spain,[],0,[],0
23061,peteish,2004,2024-05-10,United Kingdom,[],0,[],0
1358688,GodzillasTodespranke,2016,2024-06-30,Germany,[],0,['909'],1
3708902,Sasorien,2023,2023-11-25,Germany,[],0,[],0
1647596,valeriapag96,2017,2024-05-01,Italy,[],0,[],0
3171063,LaurenM19,2022,2023-07-18,United States,[],0,[],0
3466960,SaskiaWalter,2023,2023-02-12,Germany,[],0,[],0
1264268,Boontata,2016,2024-06-28,United States,"['bpkbpk', 'BriGuy5', 'das_ninja', 'halogen64', 'JPMazzie', 'paperemail']",6,"['3443', '3710']",2
2784125,Adrumar,2020,2024-05-17,France,[],0,[],0
2803293,Alvirs,2021,2024-05-06,Ireland,[],0,[],0
2905483,BallzyFonky,2021,2021-07-23,France,[],0,[],0
495900,the_spiral,2012,2023-10-06,United Kingdom,['chococat'],1,['1191'],1
954584,vdwoord,2014,2024-06-30,Netherlands,"['Kuze84', 'vrieskist']",2,"['24', '1622', '2246']",3
3730301,Camsagace,2023,2023-12-30,France,[],0,[],0
3154234,hexadevil,2022,2024-06-10,United States,[],0,[],0
2103456,nyck78,2019,2023-04-12,United States,[],0,[],0
2939501,Jonathan119,2021,2024-03-10,New Zealand,[],0,[],0
3625890,kissmytoez,2023,2023-08-19,United States,[],0,[],0
2781673,Blackwoodin,2020,2024-06-28,Russia,[],0,[],0
