id,name,average_rating,Geek_rating,rank,num_voters,type,category,playing_time
224517,Brass: Birmingham,8.59773,8.41515,1,45893,strategygames,Age of Reason,120
161936,Pandemic Legacy: Season 1,8.52755,8.38005,2,53502,thematic,Environmental,60
174430,Gloomhaven,8.58908,8.35323,3,62170,thematic,Adventure,120
342942,Ark Nova,8.53525,8.33418,4,43498,strategygames,Animals,150
233078,Twilight Imperium: Fourth Edition,8.60156,8.24151,5,23791,thematic,Civilization,480
316554,Dune: Imperium,8.43471,8.22919,6,45462,strategygames,Movies / TV / Radio theme,120
167791,Terraforming Mars,8.3597,8.21278,7,99034,strategygames,Economic,120
115746,War of the Ring: Second Edition,8.54201,8.18614,8,21346,wargames,Fantasy,180
187645,Star Wars: Rebellion,8.41997,8.17087,9,32450,thematic,Civil War,240
291457,Gloomhaven: Jaws of the Lion,8.44028,8.16615,10,34269,thematic,Adventure,120
162886,Spirit Island,8.34438,8.14397,11,51511,strategygames,Environmental,120
220308,Gaia Project,8.37739,8.11542,12,27134,strategygames,Civilization,150
12333,Twilight Struggle,8.24719,8.06851,13,48794,wargames,Modern Warfare,180
182028,Through the Ages: A New Story of Civilization,8.29028,8.06041,14,31638,strategygames,Card Game,120
193738,Great Western Trail,8.1946,8.02776,15,40858,strategygames,American West,150
84876,The Castles of Burgundy,8.14081,8.01621,16,62272,strategygames,Dice,90
169786,Scythe,8.14434,7.99231,17,83466,strategygames,Economic,115
246900,Eclipse: Second Dawn for the Galaxy,8.46056,7.97785,18,13579,strategygames,Civilization,200
173346,7 Wonders Duel,8.09585,7.97192,19,94626,strategygames,Ancient,30
28720,Brass: Lancashire,8.19437,7.96243,20,24928,strategygames,Economic,120
167355,Nemesis,8.27105,7.9549,21,30513,thematic,Adventure,180
266507,Clank! Legacy: Acquisitions Incorporated,8.53646,7.9465,22,9423,thematic,Adventure,120
177736,A Feast for Odin,8.17203,7.94445,23,28510,strategygames,Economic,120
124361,Concordia,8.09463,7.94262,24,40478,strategygames,Ancient,100
205637,Arkham Horror: The Card Game,8.13085,7.90133,25,43106,cgs,Adventure,120
341169,Great Western Trail: Second Edition,8.34102,7.90023,26,12639,strategygames,American West,150
266192,Wingspan,8.04792,7.89954,27,93158,strategygames,Animals,70
120677,Terra Mystica,8.06209,7.89706,28,48003,strategygames,Civilization,150
312484,Lost Ruins of Arnak,8.07459,7.8963,29,44091,strategygames,Adventure,120
295770,Frosthaven,8.84467,7.8933,30,6949,thematic,Adventure,180
